,EC,SUBS
11293,EC-1.14.14.34,FMN
11294,EC-1.14.14.34,PROTON
11295,EC-1.14.14.34,CPD-10437
11296,EC-1.14.14.34,OXYGEN-MOLECULE
11297,EC-1.14.14.34,FMNH2
11298,EC-1.14.14.35,CPD-2205
11299,EC-1.14.14.35,Ox-NADPH-Hemoprotein-Reductases
11300,EC-1.14.14.35,CARBON-DIOXIDE
11301,EC-1.14.14.35,WATER
11302,EC-1.14.14.35,TYR
11303,EC-1.14.14.35,OXYGEN-MOLECULE
11304,EC-1.14.14.35,Red-NADPH-Hemoprotein-Reductases
11305,EC-1.14.14.36,CPD-648
11306,EC-1.14.14.36,Ox-NADPH-Hemoprotein-Reductases
11307,EC-1.14.14.36,WATER
11308,EC-1.14.14.36,CPD-2205
11309,EC-1.14.14.36,Red-NADPH-Hemoprotein-Reductases
11310,EC-1.14.14.36,OXYGEN-MOLECULE
11311,EC-1.14.14.37,2-METHYLPROPANAL-OXIME
11312,EC-1.14.14.37,Ox-NADPH-Hemoprotein-Reductases
11313,EC-1.14.14.37,CARBON-DIOXIDE
11314,EC-1.14.14.37,WATER
11315,EC-1.14.14.37,VAL
11316,EC-1.14.14.37,OXYGEN-MOLECULE
11317,EC-1.14.14.37,Red-NADPH-Hemoprotein-Reductases
11318,EC-1.14.14.38,CPD-10273
11319,EC-1.14.14.38,Ox-NADPH-Hemoprotein-Reductases
11320,EC-1.14.14.38,CARBON-DIOXIDE
11321,EC-1.14.14.38,WATER
11322,EC-1.14.14.38,ILE
11323,EC-1.14.14.38,OXYGEN-MOLECULE
11324,EC-1.14.14.38,Red-NADPH-Hemoprotein-Reductases
11325,EC-1.14.14.39,CPD-13031
11326,EC-1.14.14.39,Ox-NADPH-Hemoprotein-Reductases
11327,EC-1.14.14.39,WATER
11328,EC-1.14.14.39,CARBON-DIOXIDE
11329,EC-1.14.14.39,PHE
11330,EC-1.14.14.39,Red-NADPH-Hemoprotein-Reductases
11331,EC-1.14.14.39,OXYGEN-MOLECULE
11332,EC-1.14.14.40,2-Hydroxy-2-methylbutyronitriles
11333,EC-1.14.14.40,Ox-NADPH-Hemoprotein-Reductases
11334,EC-1.14.14.40,WATER
11335,EC-1.14.14.40,CPD-10273
11336,EC-1.14.14.40,Red-NADPH-Hemoprotein-Reductases
11337,EC-1.14.14.40,OXYGEN-MOLECULE
11338,EC-1.14.14.41,2-HYDROXY-2-METHYLPROPANENITRILE
11339,EC-1.14.14.41,Ox-NADPH-Hemoprotein-Reductases
11340,EC-1.14.14.41,WATER
11341,EC-1.14.14.41,2-METHYLPROPANAL-OXIME
11342,EC-1.14.14.41,Red-NADPH-Hemoprotein-Reductases
11343,EC-1.14.14.41,OXYGEN-MOLECULE
11344,EC-1.14.14.42,CPD-19472
11345,EC-1.14.14.42,WATER
11346,EC-1.14.14.42,CARBON-DIOXIDE
11347,EC-1.14.14.42,Ox-NADPH-Hemoprotein-Reductases
11348,EC-1.14.14.42,WATER
11349,EC-1.14.14.42,CARBON-DIOXIDE
11350,EC-1.14.14.42,Ox-NADPH-Hemoprotein-Reductases
11351,EC-1.14.14.42,CPDQT-343
11352,EC-1.14.14.42,CPDQT-350
11353,EC-1.14.14.42,CARBON-DIOXIDE
11354,EC-1.14.14.42,WATER
11355,EC-1.14.14.42,Ox-NADPH-Hemoprotein-Reductases
11356,EC-1.14.14.42,WATER
11357,EC-1.14.14.42,CARBON-DIOXIDE
11358,EC-1.14.14.42,Ox-NADPH-Hemoprotein-Reductases
11359,EC-1.14.14.42,CPDQT-262
11360,EC-1.14.14.42,3-METHYLTHIOPROPANALDOXIME
11361,EC-1.14.14.42,CARBON-DIOXIDE
11362,EC-1.14.14.42,WATER
11363,EC-1.14.14.42,Ox-NADPH-Hemoprotein-Reductases
11364,EC-1.14.14.42,CPDQT-341
11365,EC-1.14.14.42,WATER
11366,EC-1.14.14.42,CARBON-DIOXIDE
11367,EC-1.14.14.42,Ox-NADPH-Hemoprotein-Reductases
11368,EC-1.14.14.42,N-homo-methionine
11369,EC-1.14.14.42,OXYGEN-MOLECULE
11370,EC-1.14.14.42,Red-NADPH-Hemoprotein-Reductases
11371,EC-1.14.14.42,CPDQT-404
11372,EC-1.14.14.42,OXYGEN-MOLECULE
11373,EC-1.14.14.42,Red-NADPH-Hemoprotein-Reductases
11374,EC-1.14.14.42,CPDQT-256
11375,EC-1.14.14.42,OXYGEN-MOLECULE
11376,EC-1.14.14.42,Red-NADPH-Hemoprotein-Reductases
11377,EC-1.14.14.42,CPDQT-277
11378,EC-1.14.14.42,OXYGEN-MOLECULE
11379,EC-1.14.14.42,Red-NADPH-Hemoprotein-Reductases
11380,EC-1.14.14.42,HOMOMETHIONINE
11381,EC-1.14.14.42,OXYGEN-MOLECULE
11382,EC-1.14.14.42,Red-NADPH-Hemoprotein-Reductases
11383,EC-1.14.14.42,CPDQT-340
11384,EC-1.14.14.42,OXYGEN-MOLECULE
11385,EC-1.14.14.42,Red-NADPH-Hemoprotein-Reductases
11386,EC-1.14.14.43,CPD-12393
11387,EC-1.14.14.43,Ox-NADPH-Hemoprotein-Reductases
11388,EC-1.14.14.43,WATER
11389,EC-1.14.14.43,CPD-12405
11390,EC-1.14.14.43,Ox-NADPH-Hemoprotein-Reductases
11391,EC-1.14.14.43,WATER
11392,EC-1.14.14.43,CPD-12396
11393,EC-1.14.14.43,WATER
11394,EC-1.14.14.43,Ox-NADPH-Hemoprotein-Reductases
11395,EC-1.14.14.43,CPD-12399
11396,EC-1.14.14.43,WATER
11397,EC-1.14.14.43,Ox-NADPH-Hemoprotein-Reductases
11398,EC-1.14.14.43,CPD-12390
11399,EC-1.14.14.43,WATER
11400,EC-1.14.14.43,Ox-NADPH-Hemoprotein-Reductases
11401,EC-1.14.14.43,CPD-12402
11402,EC-1.14.14.43,WATER
11403,EC-1.14.14.43,Ox-NADPH-Hemoprotein-Reductases
11404,EC-1.14.14.43,CPDQT-341
11405,EC-1.14.14.43,OXYGEN-MOLECULE
11406,EC-1.14.14.43,Red-NADPH-Hemoprotein-Reductases
11407,EC-1.14.14.43,GLUTATHIONE
11408,EC-1.14.14.43,CPDQT-262
11409,EC-1.14.14.43,OXYGEN-MOLECULE
11410,EC-1.14.14.43,Red-NADPH-Hemoprotein-Reductases
11411,EC-1.14.14.43,GLUTATHIONE
11412,EC-1.14.14.43,CPDQT-343
11413,EC-1.14.14.43,OXYGEN-MOLECULE
11414,EC-1.14.14.43,Red-NADPH-Hemoprotein-Reductases
11415,EC-1.14.14.43,GLUTATHIONE
11416,EC-1.14.14.43,CPDQT-405
11417,EC-1.14.14.43,OXYGEN-MOLECULE
11418,EC-1.14.14.43,Red-NADPH-Hemoprotein-Reductases
11419,EC-1.14.14.43,GLUTATHIONE
11420,EC-1.14.14.43,3-METHYLTHIOPROPANALDOXIME
11421,EC-1.14.14.43,OXYGEN-MOLECULE
11422,EC-1.14.14.43,Red-NADPH-Hemoprotein-Reductases
11423,EC-1.14.14.43,GLUTATHIONE
11424,EC-1.14.14.43,CPDQT-350
11425,EC-1.14.14.43,OXYGEN-MOLECULE
11426,EC-1.14.14.43,Red-NADPH-Hemoprotein-Reductases
11427,EC-1.14.14.43,GLUTATHIONE
11428,EC-1.14.14.44,CPD-12387
11429,EC-1.14.14.44,WATER
11430,EC-1.14.14.44,Ox-NADPH-Hemoprotein-Reductases
11431,EC-1.14.14.44,INDOLE-3-ACETALDOXIME
11432,EC-1.14.14.44,OXYGEN-MOLECULE
11433,EC-1.14.14.44,Red-NADPH-Hemoprotein-Reductases
11434,EC-1.14.14.44,GLUTATHIONE
11435,EC-1.14.14.45,CPD-12384
11436,EC-1.14.14.45,Ox-NADPH-Hemoprotein-Reductases
11437,EC-1.14.14.45,WATER
11438,EC-1.14.14.45,CPD-20051
11439,EC-1.14.14.45,Ox-NADPH-Hemoprotein-Reductases
11440,EC-1.14.14.45,WATER
11441,EC-1.14.14.45,CPD-13031
11442,EC-1.14.14.45,OXYGEN-MOLECULE
11443,EC-1.14.14.45,Red-NADPH-Hemoprotein-Reductases
11444,EC-1.14.14.45,GLUTATHIONE
11445,EC-1.14.14.45,CPD-2205
11446,EC-1.14.14.45,OXYGEN-MOLECULE
11447,EC-1.14.14.45,Red-NADPH-Hemoprotein-Reductases
11448,EC-1.14.14.45,GLUTATHIONE
11449,EC-1.14.14.46,L-CITRULLINE
11450,EC-1.14.14.46,NITRIC-OXIDE
11451,EC-1.14.14.46,Oxidized-flavodoxins
11452,EC-1.14.14.46,WATER
11453,EC-1.14.14.46,PROTON
11454,EC-1.14.14.46,ARG
11455,EC-1.14.14.46,Reduced-flavodoxins
11456,EC-1.14.14.46,OXYGEN-MOLECULE
11457,EC-1.14.14.47,CPD-13420
11458,EC-1.14.14.47,Ox-NADPH-Hemoprotein-Reductases
11459,EC-1.14.14.47,WATER
11460,EC-1.14.14.47,CPD-11259
11461,EC-1.14.14.47,Red-NADPH-Hemoprotein-Reductases
11462,EC-1.14.14.47,OXYGEN-MOLECULE
11463,EC-1.14.14.48,CPD-19821
11464,EC-1.14.14.48,Ox-NADPH-Hemoprotein-Reductases
11465,EC-1.14.14.48,WATER
11466,EC-1.14.14.48,CPD-19818
11467,EC-1.14.14.48,Ox-NADPH-Hemoprotein-Reductases
11468,EC-1.14.14.48,WATER
11469,EC-1.14.14.48,Jasmonoyl-Amino-Acid-Conjugates
11470,EC-1.14.14.48,Red-NADPH-Hemoprotein-Reductases
11471,EC-1.14.14.48,OXYGEN-MOLECULE
11472,EC-1.14.14.48,CPD-19817
11473,EC-1.14.14.48,Red-NADPH-Hemoprotein-Reductases
11474,EC-1.14.14.48,OXYGEN-MOLECULE
11475,EC-1.14.14.49,CPD-19820
11476,EC-1.14.14.49,Ox-NADPH-Hemoprotein-Reductases
11477,EC-1.14.14.49,WATER
11478,EC-1.14.14.49,PROTON
11479,EC-1.14.14.49,CPD-19812
11480,EC-1.14.14.49,Ox-NADPH-Hemoprotein-Reductases
11481,EC-1.14.14.49,WATER
11482,EC-1.14.14.49,PROTON
11483,EC-1.14.14.49,CPD-19818
11484,EC-1.14.14.49,Red-NADPH-Hemoprotein-Reductases
11485,EC-1.14.14.49,OXYGEN-MOLECULE
11486,EC-1.14.14.49,CPD-13420
11487,EC-1.14.14.49,Red-NADPH-Hemoprotein-Reductases
11488,EC-1.14.14.49,OXYGEN-MOLECULE
11489,EC-1.14.14.5,BUTANAL
11490,EC-1.14.14.5,SO3
11491,EC-1.14.14.5,WATER
11492,EC-1.14.14.5,FMN
11493,EC-1.14.14.5,PROTON
11494,EC-1.14.14.5,GLYCOLALDEHYDE
11495,EC-1.14.14.5,SO3
11496,EC-1.14.14.5,WATER
11497,EC-1.14.14.5,FMN
11498,EC-1.14.14.5,PROTON
11499,EC-1.14.14.5,CPD-16549
11500,EC-1.14.14.5,SO3
11501,EC-1.14.14.5,WATER
11502,EC-1.14.14.5,FMN
11503,EC-1.14.14.5,PROTON
11504,EC-1.14.14.5,CPD-3744
11505,EC-1.14.14.5,OXYGEN-MOLECULE
11506,EC-1.14.14.5,FMNH2
11507,EC-1.14.14.5,CPD-3745
11508,EC-1.14.14.5,FMNH2
11509,EC-1.14.14.5,OXYGEN-MOLECULE
11510,EC-1.14.14.5,CPD0-1958
11511,EC-1.14.14.5,FMNH2
11512,EC-1.14.14.5,OXYGEN-MOLECULE
11513,EC-1.14.14.50,CPD-19892
11514,EC-1.14.14.50,Ox-NADPH-Hemoprotein-Reductases
11515,EC-1.14.14.50,WATER
11516,EC-1.14.14.50,CPD-7164
11517,EC-1.14.14.50,Red-NADPH-Hemoprotein-Reductases
11518,EC-1.14.14.50,OXYGEN-MOLECULE
11519,EC-1.14.14.51,CPD-261
11520,EC-1.14.14.51,Ox-NADPH-Hemoprotein-Reductases
11521,EC-1.14.14.51,WATER
11522,EC-1.14.14.51,CPD-4886
11523,EC-1.14.14.51,OXYGEN-MOLECULE
11524,EC-1.14.14.51,Red-NADPH-Hemoprotein-Reductases
11525,EC-1.14.14.52,CPD-261
11526,EC-1.14.14.52,OXYGEN-MOLECULE
11527,EC-1.14.14.52,Red-NADPH-Hemoprotein-Reductases
11528,EC-1.14.14.52,CPD-20030
11529,EC-1.14.14.52,WATER
11530,EC-1.14.14.52,Ox-NADPH-Hemoprotein-Reductases
11531,EC-1.14.14.53,PHENYLACETATE
11532,EC-1.14.14.53,Red-NADPH-Hemoprotein-Reductases
11533,EC-1.14.14.53,OXYGEN-MOLECULE
11534,EC-1.14.14.53,CPD-11495
11535,EC-1.14.14.53,Ox-NADPH-Hemoprotein-Reductases
11536,EC-1.14.14.53,WATER
11537,EC-1.14.14.54,QUININE
11538,EC-1.14.14.54,OXYGEN-MOLECULE
11539,EC-1.14.14.54,Red-NADPH-Hemoprotein-Reductases
11540,EC-1.14.14.54,3-HYDROXYQUININE
11541,EC-1.14.14.54,WATER
11542,EC-1.14.14.54,Ox-NADPH-Hemoprotein-Reductases
11543,EC-1.14.14.55,CPD-14130
11544,EC-1.14.14.55,Ox-NADPH-Hemoprotein-Reductases
11545,EC-1.14.14.55,WATER
11546,EC-1.14.14.55,CPD-4261
11547,EC-1.14.14.55,Red-NADPH-Hemoprotein-Reductases
11548,EC-1.14.14.55,OXYGEN-MOLECULE
11549,EC-1.14.14.56,CPD-7282
11550,EC-1.14.14.56,Ox-NADPH-Hemoprotein-Reductases
11551,EC-1.14.14.56,WATER
11552,EC-1.14.14.56,CPD-7283
11553,EC-1.14.14.56,Red-NADPH-Hemoprotein-Reductases
11554,EC-1.14.14.56,OXYGEN-MOLECULE
11555,EC-1.14.14.57,CPD-7284
11556,EC-1.14.14.57,Ox-NADPH-Hemoprotein-Reductases
11557,EC-1.14.14.57,WATER
11558,EC-1.14.14.57,CPD-7235
11559,EC-1.14.14.57,Red-NADPH-Hemoprotein-Reductases
11560,EC-1.14.14.57,OXYGEN-MOLECULE
11561,EC-1.14.14.58,CPD-12568
11562,EC-1.14.14.58,Red-NADPH-Hemoprotein-Reductases
11563,EC-1.14.14.58,OXYGEN-MOLECULE
11564,EC-1.14.14.58,CPD-8844
11565,EC-1.14.14.58,CPD-8847
11566,EC-1.14.14.58,Ox-NADPH-Hemoprotein-Reductases
11567,EC-1.14.14.58,WATER
11568,EC-1.14.14.59,CPD-20241
11569,EC-1.14.14.59,Ox-NADPH-Hemoprotein-Reductases
11570,EC-1.14.14.59,WATER
11571,EC-1.14.14.59,CPD-16534
11572,EC-1.14.14.59,Red-NADPH-Hemoprotein-Reductases
11573,EC-1.14.14.59,OXYGEN-MOLECULE
11574,EC-1.14.14.60,CPD-20241
11575,EC-1.14.14.60,Red-NADPH-Hemoprotein-Reductases
11576,EC-1.14.14.60,OXYGEN-MOLECULE
11577,EC-1.14.14.60,CPD-18103
11578,EC-1.14.14.60,Ox-NADPH-Hemoprotein-Reductases
11579,EC-1.14.14.60,WATER
11580,EC-1.14.14.60,PROTON
11581,EC-1.14.14.61,CPD-20242
11582,EC-1.14.14.61,Ox-NADPH-Hemoprotein-Reductases
11583,EC-1.14.14.61,WATER
11584,EC-1.14.14.61,CPD-16534
11585,EC-1.14.14.61,Red-NADPH-Hemoprotein-Reductases
11586,EC-1.14.14.61,OXYGEN-MOLECULE
11587,EC-1.14.14.62,CPD-20243
11588,EC-1.14.14.62,Ox-NADPH-Hemoprotein-Reductases
11589,EC-1.14.14.62,WATER
11590,EC-1.14.14.62,CPD-9459
11591,EC-1.14.14.62,Red-NADPH-Hemoprotein-Reductases
11592,EC-1.14.14.62,OXYGEN-MOLECULE
11593,EC-1.14.14.63,CPD-16621
11594,EC-1.14.14.63,Ox-NADPH-Hemoprotein-Reductases
11595,EC-1.14.14.63,WATER
11596,EC-1.14.14.63,CPD-6948
11597,EC-1.14.14.63,Red-NADPH-Hemoprotein-Reductases
11598,EC-1.14.14.63,OXYGEN-MOLECULE
11599,EC-1.14.14.64,CPD-20267
11600,EC-1.14.14.64,Ox-NADPH-Hemoprotein-Reductases
11601,EC-1.14.14.64,WATER
11602,EC-1.14.14.64,CPD-16534
11603,EC-1.14.14.64,Red-NADPH-Hemoprotein-Reductases
11604,EC-1.14.14.64,OXYGEN-MOLECULE
11605,EC-1.14.14.65,CPD-20241
11606,EC-1.14.14.65,Red-NADPH-Hemoprotein-Reductases
11607,EC-1.14.14.65,OXYGEN-MOLECULE
11608,EC-1.14.14.65,CPD-20269
11609,EC-1.14.14.65,Ox-NADPH-Hemoprotein-Reductases
11610,EC-1.14.14.65,WATER
11611,EC-1.14.14.66,CPD-20269
11612,EC-1.14.14.66,Red-NADPH-Hemoprotein-Reductases
11613,EC-1.14.14.66,OXYGEN-MOLECULE
11614,EC-1.14.14.66,CPD-20270
11615,EC-1.14.14.66,Ox-NADPH-Hemoprotein-Reductases
11616,EC-1.14.14.66,WATER
11617,EC-1.14.14.67,CPD-20271
11618,EC-1.14.14.67,Ox-NADPH-Hemoprotein-Reductases
11619,EC-1.14.14.67,WATER
11620,EC-1.14.14.67,CPD-20241
11621,EC-1.14.14.67,Red-NADPH-Hemoprotein-Reductases
11622,EC-1.14.14.67,OXYGEN-MOLECULE
11623,EC-1.14.14.68,CPD-4751
11624,EC-1.14.14.68,Red-NADPH-Hemoprotein-Reductases
11625,EC-1.14.14.68,OXYGEN-MOLECULE
11626,EC-1.14.14.68,CPD-20325
11627,EC-1.14.14.68,Ox-NADPH-Hemoprotein-Reductases
11628,EC-1.14.14.68,WATER
11629,EC-1.14.14.69,CPD-4751
11630,EC-1.14.14.69,Red-NADPH-Hemoprotein-Reductases
11631,EC-1.14.14.69,OXYGEN-MOLECULE
11632,EC-1.14.14.69,CPD-20325
11633,EC-1.14.14.69,Ox-NADPH-Hemoprotein-Reductases
11634,EC-1.14.14.69,WATER
11635,EC-1.14.14.70,CPD-11541
11636,EC-1.14.14.70,Red-NADPH-Hemoprotein-Reductases
11637,EC-1.14.14.70,OXYGEN-MOLECULE
11638,EC-1.14.14.70,CPD-20418
11639,EC-1.14.14.70,Ox-NADPH-Hemoprotein-Reductases
11640,EC-1.14.14.70,WATER
11641,EC-1.14.14.71,CPD-20471
11642,EC-1.14.14.71,Ox-NADPH-Hemoprotein-Reductases
11643,EC-1.14.14.71,WATER
11644,EC-1.14.14.71,CPD-12875
11645,EC-1.14.14.71,Red-NADPH-Hemoprotein-Reductases
11646,EC-1.14.14.71,OXYGEN-MOLECULE
11647,EC-1.14.14.72,ALBENDAZOLE
11648,EC-1.14.14.72,OXYGEN-MOLECULE
11649,EC-1.14.14.72,Red-NADPH-Hemoprotein-Reductases
11650,EC-1.14.14.72,ALBENDAZOLE-S-OXIDE
11651,EC-1.14.14.72,WATER
11652,EC-1.14.14.72,Ox-NADPH-Hemoprotein-Reductases
11653,EC-1.14.14.73,CPD-20526
11654,EC-1.14.14.73,WATER
11655,EC-1.14.14.73,Ox-NADPH-Hemoprotein-Reductases
11656,EC-1.14.14.73,CPD-20524
11657,EC-1.14.14.73,OXYGEN-MOLECULE
11658,EC-1.14.14.73,Red-NADPH-Hemoprotein-Reductases
11659,EC-1.14.14.74,CPD-20524
11660,EC-1.14.14.74,OXYGEN-MOLECULE
11661,EC-1.14.14.74,Red-NADPH-Hemoprotein-Reductases
11662,EC-1.14.14.74,CPD-20525
11663,EC-1.14.14.74,WATER
11664,EC-1.14.14.74,Ox-NADPH-Hemoprotein-Reductases
11665,EC-1.14.14.75,CPD-20322
11666,EC-1.14.14.75,WATER
11667,EC-1.14.14.75,Ox-NADPH-Hemoprotein-Reductases
11668,EC-1.14.14.75,CPD-11534
11669,EC-1.14.14.75,OXYGEN-MOLECULE
11670,EC-1.14.14.75,Red-NADPH-Hemoprotein-Reductases
11671,EC-1.14.14.76,PHENYLACETONITRILE
11672,EC-1.14.14.76,OXYGEN-MOLECULE
11673,EC-1.14.14.76,Red-NADPH-Hemoprotein-Reductases
11674,EC-1.14.14.76,CPD-12702
11675,EC-1.14.14.76,WATER
11676,EC-1.14.14.76,Ox-NADPH-Hemoprotein-Reductases
11677,EC-1.14.14.77,CPD-21320
11678,EC-1.14.14.77,Ox-NADPH-Hemoprotein-Reductases
11679,EC-1.14.14.77,WATER
11680,EC-1.14.14.77,PROTON
11681,EC-1.14.14.77,2-METHYL-3-PHYTYL-14-NAPHTHOQUINONE
11682,EC-1.14.14.77,Red-NADPH-Hemoprotein-Reductases
11683,EC-1.14.14.77,OXYGEN-MOLECULE
11684,EC-1.14.14.78,CPD-21313
11685,EC-1.14.14.78,Ox-NADPH-Hemoprotein-Reductases
11686,EC-1.14.14.78,WATER
11687,EC-1.14.14.78,PROTON
11688,EC-1.14.14.78,CPD-9726
11689,EC-1.14.14.78,Red-NADPH-Hemoprotein-Reductases
11690,EC-1.14.14.78,OXYGEN-MOLECULE
11691,EC-1.14.14.79,PROTON
11692,EC-1.14.14.79,3-HYDROXY-ANTHRANILATE
11693,EC-1.14.14.79,WATER
11694,EC-1.14.14.79,FAD
11695,EC-1.14.14.79,ANTHRANILATE
11696,EC-1.14.14.79,OXYGEN-MOLECULE
11697,EC-1.14.14.79,FADH2
11698,EC-1.14.14.8,Omega-Hydroxy-long-Chain-Fatty-Acid
11699,EC-1.14.14.8,Ox-NADPH-Hemoprotein-Reductases
11700,EC-1.14.14.8,WATER
11701,EC-1.14.14.8,Long-Chain-Fatty-Acids
11702,EC-1.14.14.8,OXYGEN-MOLECULE
11703,EC-1.14.14.8,Red-NADPH-Hemoprotein-Reductases
11704,EC-1.14.14.80,18-HYDROXYOLEATE
11705,EC-1.14.14.80,Ox-NADPH-Hemoprotein-Reductases
11706,EC-1.14.14.80,WATER
11707,EC-1.14.14.80,91018-TRIHYDROXYSTEARATE
11708,EC-1.14.14.80,WATER
11709,EC-1.14.14.80,Ox-NADPH-Hemoprotein-Reductases
11710,EC-1.14.14.80,910-EPOXY-18-HYDROXYSTEARATE
11711,EC-1.14.14.80,WATER
11712,EC-1.14.14.80,Ox-NADPH-Hemoprotein-Reductases
11713,EC-1.14.14.80,CPD-17640
11714,EC-1.14.14.80,Ox-NADPH-Hemoprotein-Reductases
11715,EC-1.14.14.80,WATER
11716,EC-1.14.14.80,16-HYDROXYPALMITATE
11717,EC-1.14.14.80,Ox-NADPH-Hemoprotein-Reductases
11718,EC-1.14.14.80,WATER
11719,EC-1.14.14.80,OLEATE-CPD
11720,EC-1.14.14.80,OXYGEN-MOLECULE
11721,EC-1.14.14.80,Red-NADPH-Hemoprotein-Reductases
11722,EC-1.14.14.80,CPD-10515
11723,EC-1.14.14.80,OXYGEN-MOLECULE
11724,EC-1.14.14.80,Red-NADPH-Hemoprotein-Reductases
11725,EC-1.14.14.80,CPD-10514
11726,EC-1.14.14.80,OXYGEN-MOLECULE
11727,EC-1.14.14.80,Red-NADPH-Hemoprotein-Reductases
11728,EC-1.14.14.80,STEARIC_ACID
11729,EC-1.14.14.80,OXYGEN-MOLECULE
11730,EC-1.14.14.80,Red-NADPH-Hemoprotein-Reductases
11731,EC-1.14.14.80,PALMITATE
11732,EC-1.14.14.80,OXYGEN-MOLECULE
11733,EC-1.14.14.80,Red-NADPH-Hemoprotein-Reductases
11734,EC-1.14.14.81,3-5-Dihydroxy-Flavanones
11735,EC-1.14.14.81,WATER
11736,EC-1.14.14.81,Ox-NADPH-Hemoprotein-Reductases
11737,EC-1.14.14.81,CPD-7087
11738,EC-1.14.14.81,Ox-NADPH-Hemoprotein-Reductases
11739,EC-1.14.14.81,WATER
11740,EC-1.14.14.81,PROTON
11741,EC-1.14.14.81,FLAVANONES
11742,EC-1.14.14.81,OXYGEN-MOLECULE
11743,EC-1.14.14.81,Red-NADPH-Hemoprotein-Reductases
11744,EC-1.14.14.81,DIHYDROKAEMPFEROL-CMPD
11745,EC-1.14.14.81,OXYGEN-MOLECULE
11746,EC-1.14.14.81,Red-NADPH-Hemoprotein-Reductases
11747,EC-1.14.14.82,CPD-474
11748,EC-1.14.14.82,Ox-NADPH-Hemoprotein-Reductases
11749,EC-1.14.14.82,WATER
11750,EC-1.14.14.82,PROTON
11751,EC-1.14.14.82,5734-TETRAHYDROXYFLAVONE
11752,EC-1.14.14.82,Ox-NADPH-Hemoprotein-Reductases
11753,EC-1.14.14.82,WATER
11754,EC-1.14.14.82,3prime-Hydroxy-Flavonoids
11755,EC-1.14.14.82,WATER
11756,EC-1.14.14.82,Ox-NADPH-Hemoprotein-Reductases
11757,EC-1.14.14.82,CPD-520
11758,EC-1.14.14.82,Ox-NADPH-Hemoprotein-Reductases
11759,EC-1.14.14.82,WATER
11760,EC-1.14.14.82,3prime-Hydroxy-Flavones
11761,EC-1.14.14.82,Ox-NADPH-Hemoprotein-Reductases
11762,EC-1.14.14.82,WATER
11763,EC-1.14.14.82,DIHYDROKAEMPFEROL-CMPD
11764,EC-1.14.14.82,Red-NADPH-Hemoprotein-Reductases
11765,EC-1.14.14.82,OXYGEN-MOLECULE
11766,EC-1.14.14.82,CPD-431
11767,EC-1.14.14.82,Red-NADPH-Hemoprotein-Reductases
11768,EC-1.14.14.82,OXYGEN-MOLECULE
11769,EC-1.14.14.82,Flavonoids
11770,EC-1.14.14.82,OXYGEN-MOLECULE
11771,EC-1.14.14.82,Red-NADPH-Hemoprotein-Reductases
11772,EC-1.14.14.82,CPD1F-90
11773,EC-1.14.14.82,Red-NADPH-Hemoprotein-Reductases
11774,EC-1.14.14.82,OXYGEN-MOLECULE
11775,EC-1.14.14.82,Flavones
11776,EC-1.14.14.82,Red-NADPH-Hemoprotein-Reductases
11777,EC-1.14.14.82,OXYGEN-MOLECULE
11778,EC-1.14.14.83,CPD-14000
11779,EC-1.14.14.83,Ox-NADPH-Hemoprotein-Reductases
11780,EC-1.14.14.83,WATER
11781,EC-1.14.14.83,Linalools
11782,EC-1.14.14.83,Red-NADPH-Hemoprotein-Reductases
11783,EC-1.14.14.83,OXYGEN-MOLECULE
11784,EC-1.14.14.84,LOGANATE
11785,EC-1.14.14.84,WATER
11786,EC-1.14.14.84,Ox-NADPH-Hemoprotein-Reductases
11787,EC-1.14.14.84,CPD-9981
11788,EC-1.14.14.84,OXYGEN-MOLECULE
11789,EC-1.14.14.84,Red-NADPH-Hemoprotein-Reductases
11790,EC-1.14.14.85,7-DEOXYLOGANIN
11791,EC-1.14.14.85,OXYGEN-MOLECULE
11792,EC-1.14.14.85,Red-NADPH-Hemoprotein-Reductases
11793,EC-1.14.14.85,LOGANIN
11794,EC-1.14.14.85,WATER
11795,EC-1.14.14.85,Ox-NADPH-Hemoprotein-Reductases
11796,EC-1.14.14.86,CPD-3061
11797,EC-1.14.14.86,Red-NADPH-Hemoprotein-Reductases
11798,EC-1.14.14.86,OXYGEN-MOLECULE
11799,EC-1.14.14.86,2-HYDROXYISOFLAVANONE
11800,EC-1.14.14.86,Ox-NADPH-Hemoprotein-Reductases
11801,EC-1.14.14.86,WATER
11802,EC-1.14.14.87,CPD-3161
11803,EC-1.14.14.87,Ox-NADPH-Hemoprotein-Reductases
11804,EC-1.14.14.87,WATER
11805,EC-1.14.14.87,CPD-3161
11806,EC-1.14.14.87,Ox-NADPH-Hemoprotein-Reductases
11807,EC-1.14.14.87,WATER
11808,EC-1.14.14.87,CPD-431
11809,EC-1.14.14.87,Red-NADPH-Hemoprotein-Reductases
11810,EC-1.14.14.87,PROTON
11811,EC-1.14.14.87,OXYGEN-MOLECULE
11812,EC-1.14.14.87,NARINGENIN-CMPD
11813,EC-1.14.14.87,OXYGEN-MOLECULE
11814,EC-1.14.14.87,Red-NADPH-Hemoprotein-Reductases
11815,EC-1.14.14.88,CPD-9539
11816,EC-1.14.14.88,WATER
11817,EC-1.14.14.88,Ox-NADPH-Hemoprotein-Reductases
11818,EC-1.14.14.88,FORMONONETIN
